,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Krediye Uygunluk
168,0,3,33,3600000,98 M2,87 M2,3,0,3,
169,0,9,49,599000,100 M2,90 M2,3,8,3,
170,0,3,33,3275000,145 M2,130 M2,6,0,3,
171,0,14,119,480000,115 M2,110 M2,3,7,16,
172,0,14,189,1300000,125 M2,100 M2,3,0,4,
173,0,14,154,935000,145 M2,140 M2,6,7,5,
174,0,29,245,695000,100 M2,90 M2,3,2,16,
175,0,16,120,2800000,210 M2,200 M2,10,5,9,
176,0,2,60,939000,95 M2,85 M2,3,3,7,
177,0,9,61,439000,110 M2,100 M2,3,7,5,
178,0,14,268,439000,110 M2,100 M2,3,7,5,
179,0,14,27,785000,120 M2,110 M2,6,7,18,
180,0,9,150,1289000,105 M2,100 M2,3,0,7,
181,0,2,60,975000,90 M2,85 M2,3,8,7,
182,0,21,158,8500000,260 M2,220 M2,12,7,13,
183,0,14,110,419000,105 M2,95 M2,3,7,3,
184,0,2,158,1250000,97 M2,87 M2,3,0,18,
185,0,25,159,1800000,220 M2,210 M2,16,0,21,
186,0,14,169,589000,110 M2,95 M2,3,1,18,
187,0,27,260,690000,90 M2,80 M2,3,8,7,
188,0,7,35,5850000,181 M2,161 M2,6,8,5,
189,0,16,36,3500000,80 M2,75 M2,2,5,9,Hayır
190,0,27,178,1200000,1.555 M2,145 M2,6,5,5,
191,0,25,5,775000,100 M2,85 M2,3,6,18,
192,0,29,92,1100000,97 M2,95 M2,3,6,3,
193,0,9,132,1899000,120 M2,110 M2,3,7,10,
194,0,7,34,3250000,136 M2,120 M2,5,7,7,
195,0,29,274,550000,95 M2,90 M2,3,8,16,
196,0,3,140,1320000,100 M2,98 M2,3,8,9,
197,0,13,116,1450000,84 M2,70 M2,3,2,7,
198,0,17,46,2550000,260 M2,250 M2,10,6,7,
199,0,17,46,2250000,230 M2,220 M2,10,8,9,
200,0,3,199,930000,130 M2,125 M2,6,8,18,
201,0,9,132,2895000,240 M2,220 M2,10,6,21,
202,0,12,27,6990000,290 M2,200 M2,6,0,20,
203,0,9,132,1790000,145 M2,130 M2,6,0,3,
204,0,9,150,1749000,105 M2,90 M2,3,0,5,
205,0,9,61,479000,100 M2,90 M2,3,8,16,
206,0,9,104,9250000,580 M2,500 M2,12,0,20,
207,0,9,8,2799000TLarrow_downward,230 M2,200 M2,7,0,7,
208,0,9,132,1889000,140 M2,130 M2,6,0,3,
209,0,9,8,1690000,120 M2,105 M2,3,7,3,
210,0,9,132,1790000,145 M2,130 M2,6,0,3,
211,0,9,150,1749000,105 M2,90 M2,3,0,5,
212,0,9,61,479000,100 M2,90 M2,3,8,16,
213,0,9,104,9250000,580 M2,500 M2,12,0,20,
214,0,9,8,2799000TLarrow_downward,230 M2,200 M2,7,0,7,
215,0,9,132,1889000,140 M2,130 M2,6,0,3,
